"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"448","Brandon Sutter","PIT","C","81","187.26666666667","2.3119341563786","0.77","6.02","0.35","0.45","2.59","0.27","0.47","1.62","0.49","0.96","0.53","15.00","0.49","-0.64","6.60","0.28","-3.38","0.98","1.65","-4.33","8.10","0.64","-1.44","25.00","-1.82","1.27","-4.63","0","1.95","0.00","0.53","12.71","0.10","0","0.73","0.00","18.75","90.66","1.094","0.32","4.49","49.34","32.68","0.65","2.24","7.37","61.2","3.54"
"335","Marc-Andre Cliche","COL","C","76","192.38333333333","2.5313596491228","0.2","5.94","-0.29","1.05","6.61","0.36","2.5","3.03","2.87","0.02","1.26","-0.55","-0.05","-0.14","-0.48","-0.98","3.87","-2.16","-0.79","3.68","-3.92","0.02","0.53","-0.42","-0.25","0.25","-0.63","0","0.04","0.00","1.98","4.31","2.24","0","1.01","0.00","3.70","87.63","0.913","0.94","9.04","52.08","32.12","1.76","1.87","13.41","66.12","2.75"
"17","Jarome Iginla","BOS","R","78","31","0.3974358974359","14.43","5.86","9.04","6.42","4.93","4.98","4.99","1.14","5.82","-1.22","0.18","-17.78","-0.07","-0.19","-0.58","2.68","-7.65","7.22","-3.19","2.73","-14.69","-0.76","0.11","-29.41","7.83","-13.84","25.64","-0.61","-2.23","-21.43","11.5","20.08","8.88","0","2.51","0.00","0.00","88.89","0.889","3.87","21.29","38.71","102.58","9.09","9.68","29.03","44.52","17.86"
"342","Mark Fraser","EDM, TOR","D","42","91.116666666667","2.1694444444444","2.84","5.8","1.81","2.88","4.4","2.39","2.27","-2.5","3.48","-1.05","1.88","-12.50","-0.05","1.01","-1.36","1.07","5.44","0.94","-1.44","9.43","-7.73","-0.7","3.09","-16.67","3.35","-5.33","8.81","-0.47","-0.16","-14.29","0.72","-0.14","0.78","0","-1.57","0.00","0.00","83.91","0.839","0.66","3.95","26.34","52.02","2.44","5.27","8.56","37.53","12.31"
"147","Dennis Seidenberg","BOS","D","34","81.666666666667","2.4019607843137","-2.23","5.79","-2.62","-3.9","8.84","-6.18","-4.85","6.3","-9.10","-1.45","-2.52","-8.57","-0.47","0.8","-8.48","-4.87","-8.96","-6.32","-4.18","1.43","-20.65","-1.64","-0.9","-50.00","-0.92","-13.86","4.06","0.25","-2.91","80.00","4.82","20.98","3.25","0","0.82","0.00","11.11","94.12","1.052","2.94","5.14","23.51","39.67","11.11","5.88","16.16","43.35","11.94"
"332","Marc-Edouard Vlasic","S.J","D","81","177.8","2.1950617283951","5.98","5.71","4.10","5.93","5.07","5.53","5.54","7.3","6.24","0.03","1.12","-2.87","0.66","0.51","7.40","4.18","1.95","6.24","3.43","0.06","12.16","-0.32","0.37","-12.50","1","2.51","1.43","0.01","2.3","-7.58","1.09","8.58","0.40","0.49","-1.41","33.33","11.11","87.32","0.984","0.34","5.74","36.78","37.8","0.91","3.71","10.46","54.67","6.36"
"784","Kevin Czuczman","NYI","D","13","21.466666666667","1.6512820512821","6.85","5.66","3.56","7.22","7.57","4.09","5.85","14.01","1.72","0","2.05","0.00","-0.37","1.04","-5.31","6.22","9.42","4.56","-2.85","6.48","-10.42","0","1.37","0.00","12.09","3.92","18.55","0","-1.41","0.00","1.98","-1.85","3.47","0","2.51","0.00","0.00","86.36","0.864","0","5.59","36.34","47.52","0.00","2.8","13.98","44.72","5.88"
"126","Ales Hemsky","EDM, OTT","R","75","13.1","0.17466666666667","-13.54","5.63","-11.49","-11.38","14.37","-12.21","-8.5","16.53","-13.02","-0.72","6.83","-9.43","-0.78","0.04","-9.49","-5.76","-2.63","-9.80","-1.73","-1.99","-7.84","-0.43","1.41","-12.00","-5.38","-0.85","-10.98","0","3.42","0.00","-7.49","8.65","-9.57","-0.21","4.12","-7.69","-","81.25","0.81","4.58","9.16","13.74","119.08","25.00","4.58","13.74","13.74","25.00"
"550","Brian Lashoff","DET","D","75","177.2","2.3626666666667","1.19","5.56","0.53","2.17","4.7","1.86","2.36","-3.57","4.48","-0.66","1.11","-11.11","0.35","0.6","3.46","2.13","4.39","2.59","2.3","0.46","8.26","-0.44","1.05","-18.18","-0.23","5.24","-1.94","0","0.34","0.00","-0.92","2.12","-1.49","-0.32","0.04","-14.29","0.00","86.43","0.864","2.03","3.05","39.28","46.39","4.92","1.69","6.43","51.13","3.21"
"530","James Wright","WPG","C","59","135.13333333333","2.290395480226","1.58","5.55","0.39","1.82","7.44","0.35","0.33","7.52","-1.68","-1.13","0.12","-16.67","0.03","0.53","-0.61","0.16","-1.52","0.63","-0.16","7.11","-5.83","-1.13","-0.89","-26.67","0.43","-11.51","4.06","0","1.45","0.00","-0.46","9.75","-2.22","0","-0.12","0.00","0.00","89.17","0.892","1.78","7.1","36.85","51.95","4.60","2.66","14.21","47.95","5.26"
"216","Eric Fehr","WSH","C","73","74.433333333333","1.0196347031963","15.99","5.52","10.55","12.83","6.67","10.44","12.77","3.04","14.46","0.29","1.37","1.89","0.85","0.39","8.97","9.26","5.36","11.96","3.91","2.26","11.87","0.46","2.13","1.28","7.13","4.14","12.02","-0.23","-1.23","-9.09","4.74","-1.76","5.26","0","0.24","0.00","4.76","88.75","0.935","0.81","7.25","16.93","85.45","4.55","2.42","10.48","19.35","11.11"
"672","Ryan Johansen","CBJ","C","82","59.15","0.72134146341463","0.16","5.51","-0.47","-1.99","4.97","-2.63","-0.52","2.53","-1.18","-1.32","1.97","-17.65","-0.28","0.41","-3.86","-1.22","7.85","-3.57","-1.2","3.01","-5.72","-1.02","2","-25.00","-0.04","6.46","-1.62","-0.39","1.13","-11.76","1.41","2.96","1.36","0","-1.27","0.00","0.00","86.44","0.864","1.01","8.11","100.42","60.86","1.00","2.03","10.14","107.52","1.85"
"274","Andrej Meszaros","BOS, PHI","D","52","45.466666666667","0.87435897435897","7.86","5.46","5.59","4.87","11.89","2.20","0.23","15.85","-4.70","0.54","-0.13","9.00","0.99","1.53","8.41","7.74","12.91","8.05","3.87","10.65","4.92","-0.39","0.49","-15.38","5.16","3.02","10.15","1.5","0.98","25.00","4.46","-9.72","8.87","0","-1.97","0.00","12.50","92.86","1.054","5.28","10.56","25.07","77.86","17.39","6.6","18.48","39.59","14.29"
"190","Alexander Steen","STL","L","68","129.41666666667","1.9031862745098","-0.04","5.29","-0.72","0.09","5.8","-1.07","0.37","3.73","-0.65","1.42","-2.62","29.47","-0.06","-0.14","-0.62","-1.08","-2.05","-1.23","0.09","3.85","-1.63","1.17","-0.1","32.86","-1.55","-7.87","0.57","0.33","-1.66","24.24","-1.35","7.45","-2.76","0","-1.84","0.00","20.00","92.78","1.128","1.85","11.13","70.47","42.65","2.56","3.71","14.84","83.45","4.26"
"146","Kevin Bieksa","VAN","D","76","167.53333333333","2.2043859649123","2.47","5.08","1.51","2.18","-0.55","2.69","1.57","-0.98","3.04","-0.19","-1.88","1.21","0.31","-0.11","4.44","2.6","-0.84","4.81","1.33","-2.19","7.50","-0.32","0.38","-10.32","1.7","1.79","3.12","0.48","-1.1","20.00","0.35","6.06","-0.38","0","-2.09","0.00","9.09","88.70","0.978","1.43","3.94","25.79","53","5.26","4.66","8.24","34.02","12.04"
"659","Nick Bjugstad","FLA","C","76","27.216666666667","0.35811403508772","2.65","5.08","1.47","2.27","7.69","1.07","2.06","14.05","-0.01","3.41","6.64","12.05","-0.25","1.84","-3.96","-2.56","9.73","-5.38","-0.78","6.8","-4.38","1.71","4.01","10.63","-2.37","3.91","-6.26","2.28","6.61","1.92","10.41","-1.21","11.74","0","-3.36","0.00","40.00","79.41","1.194","8.82","8.82","46.3","81.57","16.00","8.82","15.43","57.32","13.33"
"107","Tomas Kopecky","FLA","R","49","87.75","1.7908163265306","-0.24","5.07","-0.72","-0.63","6.9","-1.60","-1.03","3.34","-2.00","0.27","-6.66","10.58","0.27","-0.14","3.41","2.55","3.46","3.66","1.89","-5.82","10.27","-0.41","-3.6","-7.69","0.89","12.38","-1.34","0.91","-2.4","50.00","-1.43","-0.4","-1.82","0","-1.82","0.00","10.00","93.02","1.030","2.74","8.89","41.03","38.29","6.25","4.1","10.94","53.33","7.14"
"142","Stephane Veilleux","MIN","L","34","41.533333333333","1.221568627451","-6.09","5.02","-6.35","-5.31","3.76","-7.21","-3.09","-6.33","-3.96","0","-2.71","0.00","-0.33","1.15","-5.95","-4.12","15.24","-10.08","0.33","-2.29","2.56","0","-3.71","-","-5.94","23.37","-18.18","0","4.29","0.00","-3.27","-9.34","-4.38","0","-3.22","0.00","0.00","89.66","0.897","2.89","7.22","10.11","98.23","22.22","4.33","7.22","11.56","27.27"
"97","Rostislav Klesla","PHX","D","25","53.2","2.128","8.82","4.7","5.95","5.69","12.46","3.65","5.75","9.05","5.83","0","4.37","0.00","0.73","0.42","7.49","6.45","-1.65","10.26","5.82","-1.79","19.43","0","1.75","0.00","0.83","0.19","1.81","0","5.68","0.00","2.53","13","1.91","0","-2.36","0.00","0.00","82.46","0.825","2.26","2.26","42.86","43.98","5.00","4.51","4.51","50.75","8.16"
"111","Dominic Moore","NYR","C","73","121.33333333333","1.662100456621","-0.36","4.7","-0.90","-0.96","3.3","-1.68","0.8","1.49","0.74","0.37","-0.4","5.49","-0.03","0.83","-2.01","0.12","6.81","-1.84","-0.55","1.69","-3.43","-0.08","0.56","-5.77","0.89","6.83","-0.60","0.3","-0.05","16.67","-1.23","-2.8","-1.28","-0.39","-1.33","-10.00","20.00","90.29","1.103","2.47","7.42","36.59","56.87","6.33","2.97","8.41","46.48","6.00"
"35","Olli Jokinen","WPG","C","82","40.65","0.49573170731707","-4.78","4.62","-4.24","-0.6","-7.47","0.80","1.13","-1.13","1.97","-0.7","2.86","-10.42","-0.02","-0.07","-0.07","-1.68","-1.88","-2.03","-1.93","2.15","-7.41","-0.56","2.84","-15.38","0.33","-5.38","2.45","-0.19","-0.26","-7.69","-3.39","1.64","-4.82","0","0.32","0.00","0.00","81.25","0.813","2.95","11.81","56.09","51.66","5.00","2.95","16.24","64.94","4.35"
"170","Tom Gilbert","FLA","D","73","64.3","0.88082191780822","-3.4","4.62","-3.13","-3.84","3.18","-4.25","-2.54","0.47","-3.38","-0.81","-2.71","-7.41","-0.32","0.17","-3.76","-1.44","-2.17","-2.02","-2.12","-4","-6.90","-0.2","-3.1","-3.33","0.91","2.44","1.33","-0.81","-0.22","-23.08","-0.95","3.43","-1.46","0","0.81","0.00","0.00","88.06","0.881","0.93","4.67","22.4","63.45","4.00","0.93","11.2","39.19","2.33"
"174","Matt Greene","L.A","D","38","102.18333333333","2.6890350877193","0.07","4.62","-0.42","1.77","1.52","1.54","-1.55","4.58","-3.24","-0.33","5.32","-7.74","0.24","0.3","2.44","1.34","2.46","1.50","0.77","2.83","1.28","-0.92","2.2","-20.00","0.76","-0.5","1.91","0.78","1.64","14.29","0.63","3.33","0.45","0","2.73","0.00","7.69","78.49","0.862","0","4.7","40.52","37.58","0.00","1.76","8.81","57.54","2.97"
"455","Carl Gunnarsson","TOR","D","80","235.08333333333","2.9385416666667","-2.47","4.44","-2.27","-2.24","1.31","-2.40","-1.55","0.84","-2.27","-0.44","-0.71","-3.53","-0.42","0.56","-5.68","-2.04","6.18","-4.86","-0.02","4.62","-1.99","0.21","-2.25","10.78","-2.7","2.09","-7.03","-0.06","0.26","-2.50","-1.09","-1.66","-1.08","-0.43","1.95","-20.00","14.29","87.61","1.019","1.02","8.42","41.35","27.56","2.41","2.3","16.33","64.32","3.45"
"429","Nick Bonino","ANA","C","77","132.06666666667","1.7151515151515","-2.61","4.41","-2.39","-1.44","3.07","-1.95","-0.21","2.64","-1.00","-0.26","-0.39","-1.76","0.22","-0.21","2.63","0.41","-2.22","1.10","0.73","-5.04","5.58","0.35","0.43","3.26","-0.43","3.76","-1.71","-0.27","-1.56","-11.11","-2.88","11.29","-4.55","-0.29","0.5","-16.67","14.29","88.60","1.029","2.27","8.18","60.42","42.71","3.62","3.18","11.36","75.42","4.05"
"327","T.J. Oshie","STL","R","79","140.06666666667","1.7729957805907","0.12","4.36","-0.43","0.35","8.49","-1.16","-0.17","8.73","-2.76","0.75","0.62","9.07","0.09","0.2","0.88","2.27","2.98","2.88","1.51","-1.23","9.40","0.5","0.62","9.62","1.02","5.61","-0.25","0.34","0.73","6.67","-2.53","3.37","-4.00","0","-0.81","0.00","15.79","88.89","1.047","2.57","7.71","24.42","75.39","9.52","4.71","9.85","30.84","13.25"
"469","Alec Martinez","L.A","D","61","26.266666666667","0.43060109289617","16.93","4.16","11.62","11.18","-2.65","10.94","1.97","-6.43","4.81","-0.74","2.62","-14.81","0.47","1.06","3.87","12.57","4.84","15.52","-0.11","9.65","-3.51","-0.74","2.36","-25.00","16.91","-6.42","32.21","0","-0.98","0.00","9.48","-5.03","12.19","0","1.44","0.00","0.00","84.21","0.842","0","6.85","13.71","77.66","0.00","4.57","11.42","20.56","18.18"
"194","Jim Slater","WPG","C","27","50.466666666667","1.8691358024691","3.78","3.93","2.13","3.71","-2.99","4.27","0.91","0.22","1.18","0","-0.21","0.00","0.35","-0.97","5.20","3.78","-8.66","7.72","2.03","-1.39","6.80","0","-0.84","0.00","2.33","-9.69","8.72","0","-1.68","0.00","-1.31","23.24","-5.71","0","2.73","0.00","0.00","86.05","0.860","3.57","8.32","60.63","32.1","5.56","4.76","16.64","73.71","6.06"
"381","Chris Stewart","BUF, STL","R","63","2.4333333333333","0.038624338624339","39.5","3.93","23.94","41.22","-44.65","56.20","43.09","-22.69","55.04","-0.31","-4.98","-","3.05","-5.04","71.36","18.89","-19.11","38.36","-0.93","-14.02","-","0","-1.87","-","26.44","-6.79","36.04","-0.42","-2.49","-14.29","31.79","42.28","19.41","0","-1.8","0.00","0.00","100.00","1.000","0","0","49.32","147.95","0.00","0","0","49.32","0.00"
"514","Colby Robak","FLA","D","16","36.55","2.284375","-3","3.9","-2.42","-3.22","-5.39","-1.91","0.87","2.91","0.33","1.24","1.05","6.35","-0.71","-2.26","-3.95","-4.06","1.86","-5.45","0.84","-8.08","5.56","-0.4","-2.45","16.67","-6.53","13.26","-16.30","2.19","-0.54","50.00","-0.85","0.58","-0.96","0","5.64","0.00","25.00","87.80","1.128","0","6.57","50.89","41.04","0.00","3.28","14.77","67.31","4.65"
