"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"581","Adam Lowry","WPG","C","74","156.16666666667","2.1103603603604","0","0","0","0","0","0.00","1.54","0.00","0.16","1.92","1.92","1.54","0.77","0","0","0","0","0","0","0","0.38","1.15","3.46","4.23","1.92","4.61","28.05","35.35","17.00"
"582","Nick Cousins","PHI","C","36","0.21666666666667","0.0060185185185185","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"583","Logan Shaw","FLA","C","53","28.333333333333","0.53459119496855","0","0","0","0","0","-","4.24","0.00","0.5","6.35","6.35","4.24","2.12","0","0","0","0","0","0","0","0","0","4.24","0","2.12","4.24","2.12","10.59","35.29"
"584","Daniel Catenacci","BUF","C","11","0.1","0.0090909090909091","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"585","Klas Dahlbeck","ARI","D","71","196.08333333333","2.7617370892019","0","0.31","0.31","0","0.31","100.00","1.53","0.00","0.04","1.84","1.84","0.31","0","0.61","0.31","0","0","0","0","0","0","1.22","0.92","7.34","1.22","6.12","0","0","-"
"586","Andy Andreoff","L.A","L","60","2.3166666666667","0.038611111111111","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.9","25.9","1294.96"
"587","Nick Shore","L.A","C","68","67.716666666667","0.99583333333333","0","0","0","0","0","-","2.66","0.00","0.07","3.54","2.66","0","0","0","0","0","0","0","0","0","0.89","0","1.77","3.54","2.66","1.77","23.04","29.24","39.05"
"588","Alan Quine","NYI","C","2","3.1166666666667","1.5583333333333","19.25","0","0","0","19.25","100.00","19.25","100.00","3.83","19.25","19.25","19.25","19.25","0","0","0","0","0","0","0","0","0","0","0","0","19.25","57.75","57.75","962.57"
"589","Kyle Rau","FLA","C","9","2.3166666666667","0.25740740740741","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"591","Mike Reilly","MIN","D","29","1.6833333333333","0.058045977011494","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
