"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"82","Antoine Vermette","ARI, CHI","C","82","186.51666666667","6","8","5","3","14","60.87","22","27.27","3.34","30","25","22","15","0","3","2","1","1","0","0","1","8","1","3","8","0","141","95","59.75"
"106","Jason Pominville","MIN","R","82","275.18333333333","3","11","7","4","14","56.00","68","4.41","6.59","121","90","49","12","0","8","0","0","0","0","0","2","4","3","4","7","3","6","7","46.15"
"111","Patrick Sharp","CHI","L","68","193.75","8","6","4","2","14","77.78","53","15.09","4.89","114","74","41","10","1","7","0","0","0","0","0","0","3","3","2","4","1","4","8","33.33"
"185","Patrice Bergeron","BOS","C","81","189.75","4","10","6","4","14","56.00","42","9.52","7.96","96","73","69","21","0","9","0","0","0","0","0","1","6","1","8","10","1","181","106","63.07"
"215","Mark Giordano","CGY","D","61","193.58333333333","2","12","6","6","14","77.78","48","4.17","3.5","101","66","28","1","1","5","0","0","0","0","0","0","4","2","1","5","6","0","0","-"
"243","Alexander Edler","VAN","D","74","216.8","5","9","4","5","14","45.16","43","11.63","3.5","109","65","29","3","0","9","8","4","4","0","0","2","6","1","4","8","4","0","0","-"
"256","Troy Brouwer","WSH","R","82","244.08333333333","8","6","2","4","14","32.56","43","18.60","7.9","79","64","64","28","0","5","15","6","5","1","0","3","4","1","15","5","0","98","63","60.87"
"269","Bobby Ryan","OTT","R","78","242.03333333333","4","10","4","6","14","63.64","56","7.14","6.44","89","72","39","17","1","7","0","0","0","0","0","1","6","2","10","9","2","0","0","-"
"285","Justin Abdelkader","DET","L","71","198.45","8","6","5","1","14","43.75","36","22.22","6.68","49","47","42","36","1","5","12","6","6","0","0","5","2","0","8","7","0","2","1","66.67"
"289","Kris Russell","CGY","D","79","191.23333333333","1","13","4","9","14","56.00","13","7.69","1.19","40","18","12","0","0","3","0","0","0","0","0","0","7","0","0","2","9","0","0","-"
"304","Anton Stralman","T.B","D","82","204.48333333333","2","12","6","6","14","60.87","13","15.38","0.86","33","16","5","0","0","1","0","0","0","0","0","1","9","1","2","5","2","0","0","-"
"412","Jake Muzzin","L.A","D","76","193.68333333333","4","10","1","9","14","56.00","46","8.70","3.64","89","62","27","3","0","6","0","0","0","0","0","0","4","1","3","6","2","0","0","-"
"687","Ryan Nugent-Hopkins","EDM","C","76","206.6","2","12","3","9","14","58.33","31","6.45","4.44","76","47","43","10","0","4","2","1","1","0","0","0","7","1","7","6","1","102","93","52.31"
"692","Mika Zibanejad","OTT","C","80","215.05","4","10","4","6","14","66.67","36","11.11","5.18","74","55","40","11","1","4","2","1","1","0","0","3","6","1","6","10","0","95","103","47.98"
"716","Torey Krug","BOS","D","78","204.2","2","12","7","5","14","66.67","62","3.23","4.29","119","84","32","4","0","7","0","0","0","0","0","0","4","1","3","8","4","0","0","-"
"8","Jarome Iginla","COL","R","82","228.16666666667","8","5","3","2","13","72.22","57","14.04","5.78","105","76","43","11","0","6","2","1","1","0","0","1","6","1","4","4","1","11","12","47.83"
"31","Martin St. Louis","NYR","R","74","212.71666666667","5","8","5","3","13","65.00","39","12.82","6.8","72","57","39","18","1","1","2","1","1","0","0","2","10","3","0","4","0","9","8","52.94"
"77","Justin Williams","L.A","R","81","130.86666666667","4","9","4","5","13","76.47","29","13.79","3.94","47","42","24","11","0","2","0","0","0","0","0","2","7","2","0","11","1","0","0","-"
"175","Ryan Getzlaf","ANA","C","77","232.33333333333","3","10","7","3","13","61.90","46","6.52","5.01","81","59","43","9","0","4","8","4","4","0","0","0","12","3","0","19","1","55","61","47.41"
"278","T.J. Oshie","STL","R","72","168.65","3","10","5","5","13","52.00","22","13.64","2.4","40","31","20","4","0","3","2","1","1","0","0","0","3","1","8","12","0","0","2","0.00"
"588","Evgeny Kuznetsov","WSH","C","80","110.2","4","9","5","4","13","72.22","27","14.81","2.28","40","29","23","3","0","1","2","1","1","0","0","3","4","2","0","6","0","32","32","50.00"
"633","Mark Stone","OTT","R","80","191.71666666667","5","8","2","6","13","54.17","33","15.15","6.7","50","43","40","29","1","4","6","3","3","0","0","2","7","6","1","7","1","2","1","66.67"
"693","Mark Scheifele","WPG","C","82","199.38333333333","3","10","4","6","13","59.09","31","9.68","4.01","54","38","39","13","0","2","2","1","1","0","0","1","6","3","3","11","1","82","80","50.62"
"797","Aaron Ekblad","FLA","D","81","226.55","6","7","1","6","13","59.09","39","15.38","3.52","83","58","19","5","0","7","4","2","2","0","0","0","2","3","6","6","2","0","0","-"
"29","Brian Campbell","FLA","D","82","248.46666666667","1","11","7","4","12","63.16","38","2.63","2.36","64","48","18","2","0","3","2","1","1","0","0","0","6","1","3","8","2","0","0","-"
"35","David Legwand","OTT","C","80","185.86666666667","6","6","4","2","12","57.14","21","28.57","3.57","37","29","24","15","0","3","4","2","2","0","0","1","8","5","1","13","0","56","50","52.83"
"43","Mike Ribeiro","NSH","C","82","238.6","1","11","5","6","12","57.14","13","7.69","1.71","25","22","15","8","0","2","2","1","1","0","0","0","17","3","1","13","0","101","113","47.20"
"129","Rick Nash","NYR","R","79","212.01666666667","6","6","4","2","12","46.15","48","12.50","6.97","71","60","49","32","0","7","0","0","0","0","0","0","10","2","0","7","1","0","0","-"
