"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"445","Patrick Brown","VGK","C","4","0.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"446","Daniel Carr","WSH","L","6","0.31666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"449","Pierre-Edouard Bellemare","COL","C","53","112.41666666667","0","0","0","0","0","0.00","4","0.00","0.18","6","5","1","0","1","0","2","1","1","0","0","1","0","5","0","1","15","68","39","63.55"
"450","Tomas Nosek","VGK","L","38","50.933333333333","0","0","0","0","0","0.00","3","0.00","0.35","4","4","3","2","0","0","0","0","0","0","0","1","0","0","2","0","3","11","13","45.83"
"451","Aaron Ekblad","FLA","D","35","86.866666666667","0","0","0","0","0","0.00","2","0.00","0.18","4","4","1","1","0","0","0","0","0","0","0","0","1","1","2","2","5","0","0","-"
"452","Sam Reinhart","BUF","R","54","2.7833333333333","0","0","0","0","0","-","1","0.00","0.1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"454","Sam Bennett","CGY, FLA","C","48","44.75","0","0","0","0","0","-","6","0.00","2.17","10","9","3","3","0","2","0","0","0","0","0","0","3","1","2","1","0","3","8","27.27"
"455","Jake Virtanen","VAN","R","38","2.8666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"456","Haydn Fleury","ANA, CAR","D","47","58.716666666667","0","0","0","0","0","-","0","-","0.06","1","1","1","0","0","0","0","0","0","0","0","0","5","2","6","2","6","0","0","-"
"457","William Nylander","TOR","R","51","0.83333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"458","Nikolaj Ehlers","WPG","L","47","1.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"459","Nick Ritchie","BOS","L","56","1.1833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","5","1","0","1","0","1","0","0","0","0","0","0","0","-"
