"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"601","Brandon Saad","CBJ","L","78","48.216666666667","0.61816239316239","27.38","65.95","29.33","21.15","56","27.42","14.93","38.58","27.91","1.24","2.49","33.33","1.54","5.88","20.81","18.67","28.62","39.47","4.98","11.2","30.77","1.24","1.24","50.00","18.25","23.23","44.00","0","1.66","0.00","5.39","46.73","10.34","0","0","-","8.33","93.55","1.019","0","17.42","19.91","94.57","0.00","2.49","21.15","21.15","10.53"
"483","Mats Zuccarello","NYR","R","81","10.083333333333","0.12448559670782","11.9","65.45","15.38","11.9","47.6","20.00","11.9","35.7","25.00","0","5.95","0.00","1.08","5.03","17.71","5.95","35.7","14.29","5.95","23.8","20.00","0","5.95","0.00","0","15.87","0.00","0","0","-","8.6","34.38","20.00","0","0","-","0.00","83.33","0.833","0","11.9","29.75","226.12","0.00","0","11.9","47.6","0.00"
"778","Pavel Zacha","N.J","C","1","0.91666666666667","0.91666666666667","0","65.45","0.00","0","65.45","0.00","0","65.45","0.00","0","0","-","0","6.57","0.00","0","65.45","0.00","0","0","-","0","0","-","0","87.27","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","65.45","-","0","0","0","-"
"155","David Jones","CGY, MIN","R","75","3.6833333333333","0.049111111111111","16.29","65.16","20.00","16.29","48.87","25.00","16.29","32.58","33.33","0","0","-","0.66","7.48","8.11","0","48.87","0.00","0","16.29","0.00","0","0","-","0","43.44","0.00","0","0","-","23.53","23.53","50.00","0","0","-","0.00","100.00","1.000","0","16.29","16.29","81.45","0.00","0","32.58","48.87","0.00"
"446","Brandon Pirri","ANA, FLA","R","61","1.85","0.030327868852459","0","64.86","0.00","0","64.86","0.00","0","64.86","0.00","0","32.43","0.00","0","3.47","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","93.69","0.00","0","46.85","0.00","-","50.00","0.50","0","32.43","0","162.16","-","0","32.43","0","-"
"779","Connor McDavid","EDM","C","45","35.15","0.78111111111111","10.24","64.86","13.64","10.24","51.21","16.67","8.53","34.14","20.00","0","5.12","0.00","1.4","4.42","24.10","10.24","37.55","21.43","6.83","18.78","26.67","0","3.41","0.00","4.55","25.04","15.38","0","0","-","0","36.98","0.00","0","2.47","0.00","0.00","85.00","0.850","0","6.83","29.02","69.99","0.00","1.71","11.95","30.73","5.26"
"319","Brandon Sutter","VAN","C","20","42.616666666667","2.1308333333333","21.12","64.76","24.59","18.3","53.5","25.49","12.67","38.01","25.00","1.41","2.82","33.33","1.58","4.37","26.55","15.49","32.38","32.35","5.63","12.67","30.77","0","1.41","0.00","13.14","26.28","33.33","1.88","0","100.00","6.1","42.71","12.50","0","2.03","0.00","11.11","92.59","1.037","0","9.86","36.61","29.57","0.00","1.41","12.67","53.5","2.56"
"43","Marian Gaborik","L.A","R","54","5.5666666666667","0.10308641975309","10.78","64.67","14.29","10.78","32.34","25.00","10.78","21.56","33.33","0","0","-","0.28","3.26","7.96","0","21.56","0.00","0","21.56","0.00","0","0","-","0","0","-","0","0","-","15.57","62.28","20.00","0","0","-","0.00","100.00","1.000","0","10.78","32.34","140.12","0.00","0","10.78","32.34","0.00"
"485","Oscar Lindberg","NYR","C","68","22.45","0.33014705882353","8.02","64.14","11.11","8.02","42.76","15.79","2.67","29.4","8.33","0","5.35","0.00","0.36","3.63","9.02","2.67","26.73","9.09","0","13.36","0.00","0","0","-","3.56","17.82","16.67","0","0","-","3.86","50.19","7.14","0","7.72","0.00","0.00","81.82","0.818","2.67","2.67","13.36","106.9","16.67","2.67","5.35","16.04","14.29"
"790","Sergey Kalinin","N.J","C","78","18.833333333333","0.24145299145299","22.3","63.72","25.93","19.12","47.79","28.57","15.93","28.67","35.71","0","3.19","0.00","1.54","3.07","33.47","15.93","19.12","45.45","6.37","9.56","40.00","0","0","-","12.74","12.74","50.00","0","4.25","0.00","9.2","59.82","13.33","0","0","-","0.00","88.89","0.889","9.56","9.56","9.56","95.58","50.00","9.56","9.56","12.74","42.86"
"465","Seth Helgeson","N.J","D","19","9.4333333333333","0.49649122807018","6.36","63.6","9.09","6.36","57.24","10.00","6.36","31.8","16.67","0","6.36","0.00","0.12","3.91","2.86","0","31.8","0.00","0","6.36","0.00","0","0","-","0","33.92","0.00","0","0","-","9.19","45.94","16.67","0","9.19","0.00","0.00","80.00","0.800","0","12.72","12.72","95.41","0.00","0","19.08","19.08","0.00"
"132","Corey Perry","ANA","R","82","4.75","0.057926829268293","50.53","63.16","44.44","50.53","37.89","57.14","37.89","12.63","75.00","0","0","-","4.65","2.59","64.24","25.26","25.26","50.00","12.63","12.63","50.00","0","0","-","16.84","16.84","50.00","0","0","-","36.49","36.49","50.00","0","0","-","0.00","100.00","1.000","0","12.63","0","416.84","-","37.89","12.63","0","100.00"
"636","Colin Miller","BOS","D","42","3.8","0.09047619047619","0","63.16","0.00","0","63.16","0.00","0","31.58","0.00","0","15.79","0.00","0","4.26","0.00","0","31.58","0.00","0","0","-","0","0","-","0","42.11","0.00","0","21.05","0.00","0","45.61","0.00","0","0","-","-","50.00","0.50","15.79","0","31.58","110.53","33.33","15.79","0","31.58","33.33"
"648","Alex Galchenyuk","MTL","C","82","2.85","0.034756097560976","84.21","63.16","57.14","42.11","63.16","40.00","21.05","0","100.00","0","0","-","0.24","24.07","0.97","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","60.82","60.82","50.00","0","0","-","0.00","-","0.00","21.05","21.05","21.05","126.32","50.00","63.16","42.11","21.05","75.00"
"445","Dmitry Orlov","WSH","D","82","11.416666666667","0.13922764227642","21.02","63.07","25.00","15.77","52.55","23.08","10.51","36.79","22.22","0","5.26","0.00","1.06","2.89","26.86","10.51","21.02","33.33","0","10.51","0.00","0","0","-","14.01","14.01","50.00","0","0","-","7.59","60.73","11.11","0","7.59","0.00","0.00","85.71","0.857","0","0","10.51","162.92","0.00","0","5.26","21.02","0.00"
"480","Brandon Bollig","CGY","L","54","1.9333333333333","0.035802469135802","0","62.07","0.00","0","62.07","0.00","0","31.03","0.00","0","0","-","0","5.02","0.00","0","31.03","0.00","0","0","-","0","0","-","0","41.38","0.00","0","0","-","0","44.83","0.00","0","0","-","-","100.00","1.00","0","0","31.03","62.07","0.00","0","31.03","62.07","0.00"
"563","Scott Wilson","PIT","L","24","1.95","0.08125","0","61.54","0.00","0","61.54","0.00","0","30.77","0.00","0","0","-","0","5.99","0.00","0","61.54","0.00","0","61.54","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","61.54","-","0","0","0","-"
"608","Scott Harrington","TOR","D","15","10.8","0.72","22.22","61.11","26.67","16.67","38.89","30.00","5.56","22.22","20.00","0","0","-","1.9","3.78","33.51","11.11","33.33","25.00","5.56","16.67","25.00","0","0","-","7.41","22.22","25.00","0","0","-","16.05","40.12","28.57","0","0","-","0.00","100.00","1.000","0","0","16.67","72.22","0.00","5.56","0","22.22","20.00"
"461","Michael Latta","WSH","C","43","0.98333333333333","0.022868217054264","0","61.02","0.00","0","61.02","0.00","0","0","-","0","0","-","0","5.23","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","88.14","0.00","0","0","-","-","-","-","0","0","61.02","122.03","0.00","0","0","61.02","0.00"
"613","Jonathan Huberdeau","FLA","L","76","41.35","0.54407894736842","14.51","60.94","19.23","11.61","49.33","19.05","10.16","42.08","19.44","1.45","10.16","12.50","0.63","4.05","13.53","5.8","36.28","13.79","2.9","13.06","18.18","0","1.45","0.00","3.87","30.96","11.11","1.93","7.74","20.00","8.38","33.53","20.00","0","4.19","0.00","14.29","75.86","0.901","2.9","13.06","18.86","108.83","13.33","10.16","18.86","20.31","33.33"
"272","Korbinian Holzer","ANA","D","29","36.966666666667","1.2747126436782","19.48","60.05","24.49","11.36","40.58","21.88","8.12","32.46","20.00","0","1.62","0.00","0.91","3.68","19.72","9.74","27.59","26.09","3.25","9.74","25.00","0","0","-","8.66","23.81","26.67","0","2.16","0.00","14.07","42.2","25.00","0","0","-","0.00","95.00","0.950","0","4.87","25.97","71.42","0.00","0","9.74","34.08","0.00"
"238","Mike Angelidis","T.B","L","4","1","0.25","0","60","0.00","0","60","0.00","0","60","0.00","0","0","-","0","2.59","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","86.67","0.00","0","0","-","-","100.00","1.00","0","0","0","60","-","0","0","0","-"
"344","Michael Kostka","OTT","D","15","9.0166666666667","0.60111111111111","33.27","59.89","35.71","33.27","46.58","41.67","19.96","46.58","30.00","13.31","13.31","50.00","3.93","7.7","33.82","26.62","33.27","44.44","13.31","33.27","28.57","6.65","13.31","33.33","17.74","0","100.00","0","0","-","0","38.45","0.00","0","0","-","66.67","71.43","1.381","0","13.31","33.27","53.23","0.00","6.65","33.27","46.58","12.50"
"575","Darren Dietz","MTL","D","13","4.0166666666667","0.30897435897436","29.88","59.75","33.33","14.94","29.88","33.33","14.94","14.94","50.00","0","0","-","0","2.2","0.16","0","14.94","0.00","0","14.94","0.00","0","0","-","0","0","-","0","0","-","21.58","64.73","25.00","0","0","-","0.00","100.00","1.000","0","29.88","14.94","59.75","0.00","0","29.88","14.94","0.00"
"622","Sven Baertschi","VAN","L","69","2.0333333333333","0.029468599033816","0","59.02","0.00","0","29.51","0.00","0","29.51","0.00","0","0","-","0","0.74","0.00","0","29.51","0.00","0","0","-","0","0","-","0","39.34","0.00","0","0","-","0","42.62","0.00","0","0","-","-","100.00","1.00","0","29.51","88.52","59.02","0.00","0","29.51","88.52","0.00"
"540","Brendan Gallagher","MTL","R","53","3.0666666666667","0.057861635220126","0","58.7","0.00","0","39.13","0.00","0","19.57","0.00","0","0","-","0","2.78","0.00","0","19.57","0.00","0","0","-","0","0","-","0","26.09","0.00","0","0","-","0","56.52","0.00","0","0","-","-","100.00","1.00","19.57","0","0","117.39","100.00","19.57","0","0","100.00"
"454","Craig Smith","NSH","R","82","3.1666666666667","0.038617886178862","18.95","56.84","25.00","18.95","18.95","50.00","18.95","18.95","50.00","0","0","-","1.17","0.93","55.69","18.95","18.95","50.00","0","0","-","0","0","-","25.26","25.26","50.00","0","0","-","0","54.74","0.00","0","0","-","0.00","100.00","1.000","18.95","0","0","132.63","100.00","18.95","0","0","100.00"
