"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"642","Beau Bennett","PIT","R","49","574.3","11.720408163265","55.06","48.69","53.07","40.95","33.95","54.67","30.61","25.39","54.66","2.09","2.19","48.78","2.07","1.91","51.98","23.61","21.94","51.83","8.25","6.9","54.48","1.04","1.25","45.45","20.48","20.06","50.52","0.98","0.84","53.85","38.48","33.05","53.80","0.45","0.45","50.00","6.83","91.36","0.982","11.91","15.25","8.98","45.86","57.00","17.13","19.75","16.92","50.31"
"847","Aleksander Barkov","FLA","C","71","1050.4833333333","14.795539906103","54.37","48.66","52.77","40.15","37.01","52.04","29.47","26.62","52.55","2.23","2.28","49.37","2.16","2","51.85","23.82","20.45","53.81","8.74","7.82","52.76","1.66","0.97","63.04","20.11","16.83","54.43","0.38","0.91","29.41","37.7","34.4","52.29","0.41","0.74","35.71","7.56","91.42","0.990","7.77","15.08","7.14","41.92","52.11","17.59","22.79","18.28","49.04"
"32","Pascal Dupuis","PIT","R","16","203.55","12.721875","58.07","48.64","54.42","44.8","38.91","53.52","34.49","29.77","53.67","2.95","2.36","55.56","2.47","2.22","52.74","23.88","20.93","53.29","10.32","8.55","54.69","1.77","1.47","54.55","18.08","16.51","52.27","1.18","0.79","60.00","43.43","33.64","56.35","0.43","0.43","50.00","8.55","92.08","1.006","12.97","21.81","6.19","35.08","67.69","21.22","27.41","15.62","57.60"
"419","David Perron","EDM, PIT","L","81","1188.7","14.675308641975","59.81","48.61","55.17","44.12","36.34","54.83","31.4","26.85","53.90","2.22","3.18","41.12","2.44","2.33","51.14","26.2","21.91","54.46","10.3","9.24","52.71","1.46","1.87","43.94","21.2","16.89","55.65","0.81","0.94","46.15","39.59","30.48","56.50","0.22","0.58","27.27","7.07","88.16","0.952","14.03","14.79","7.02","47.65","66.67","23.72","20.95","14.74","61.68"
"372","Frédéric St-Denis","CBJ","D","4","51.85","12.9625","49.76","48.6","50.59","33.56","39.34","46.03","24.3","27.77","46.67","1.16","2.31","33.33","1.9","2.35","44.61","23.14","21.99","51.28","15.04","11.57","56.52","1.16","2.31","33.33","10.8","13.89","43.75","0","0","-","33.43","30.09","52.63","0","0","-","4.76","91.67","0.964","3.47","15.04","13.89","43.97","20.00","15.04","18.51","28.93","34.21"
"553","David Rundblad","CHI","D","49","599.98333333333","12.244557823129","64.5","48.6","57.03","46.5","37.7","55.23","33","28.3","53.83","3.4","1.6","68.00","2.47","2.21","52.83","28.6","23.6","54.79","11","10.6","50.93","1.8","0.9","66.67","23.47","17.33","57.52","1.2","0.67","64.29","44.2","30.33","59.30","1.01","0.29","77.78","10.30","94.35","1.046","11.5","13.2","4.5","50.2","71.88","24.9","18.9","11.5","68.41"
"261","Adam Pardy","WPG","D","55","686.63333333333","12.484242424242","51.29","48.58","51.36","37.14","36.88","50.18","27.88","26.13","51.62","2.45","1.92","56.00","2.18","2.33","48.32","24.64","24.47","50.18","9.87","10.84","47.68","1.14","1.31","46.43","19.69","18.18","52.00","1.28","0.7","64.71","29.28","28.02","51.10","0.38","0.13","75.00","8.78","92.64","1.014","9.35","12.76","7.34","49.2","56.02","18.96","19.31","15.55","54.94"
"832","Eriah Hayes","S.J","R","4","39.533333333333","9.8833333333333","37.94","48.57","43.86","34.91","40.98","46.00","28.84","30.35","48.72","0","3.04","0.00","1.8","3.12","36.50","15.18","21.25","41.67","7.59","12.14","38.46","0","3.04","0.00","10.12","12.14","45.45","0","0","-","28.5","37.27","43.33","0","0","-","0.00","90.00","0.900","10.62","15.18","6.07","60.71","63.64","13.66","18.21","15.18","47.37"
"427","Robert Bortuzzo","PIT, STL","D","51","713.48333333333","13.989869281046","54.41","48.52","52.86","39.52","33.89","53.84","28.76","24.3","54.20","1.68","2.52","40.00","2.24","1.86","54.59","23.97","21.11","53.17","8.83","7.99","52.50","1.09","1.09","50.00","20.18","17.49","53.57","0.56","1.12","33.33","35.47","33.04","51.77","0.12","0.85","12.50","5.85","89.62","0.955","9.67","11.77","8.24","52.56","53.99","18.75","17.58","16.57","53.10"
"822","Petteri Lindbohm","STL","D","23","349.33333333333","15.188405797101","50.84","48.44","51.21","36.07","34.87","50.85","24.22","24.9","49.30","1.72","2.06","45.45","1.93","1.89","50.52","23.87","21.47","52.65","6.7","8.42","44.32","0.34","1.03","25.00","22.9","17.4","56.82","1.37","0.92","60.00","32.5","32.5","50.00","0.5","0.5","50.00","7.09","91.72","0.988","10.13","13.57","10.13","52.04","50.00","18.89","18.72","18.03","51.16"
