"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"814","Ryan McLeod","EDM","C","10","110.3","11.03","53.85","52.77","50.51","39.71","39.17","50.34","27.74","26.11","51.52","1.63","2.72","37.50","2.36","2.12","52.69","25.57","24.48","51.09","11.42","8.7","56.76","0.54","1.09","33.33","18.86","21.03","47.27","0.73","2.18","25.00","33.79","33.79","50.00","0.79","0","100.00","5.88","89.58","0.955","9.25","10.34","5.98","50.05","60.71","13.6","15.23","10.88","55.56"
"169","Chris Kreider","NYR","L","50","667.83333333333","13.356666666667","52.02","52.74","49.66","38.81","38.36","50.29","28.3","28.03","50.24","2.87","2.87","50.00","2.39","2.2","52.07","24.35","23.27","51.13","9.88","9.52","50.93","0.99","1.53","39.29","19.29","18.33","51.27","0.96","0.72","57.14","34.65","36.08","48.99","1.43","0.91","61.11","10.16","89.74","0.999","10.06","14.91","10.24","46.99","49.56","19.41","19.77","19.77","49.54"
"373","Vinnie Hinostroza","CHI, FLA","C, L","25","290.11666666667","11.604666666667","49.01","52.74","48.17","37.23","42.19","46.88","28.95","32.68","46.98","2.27","2.69","45.83","2.2","2.56","46.21","22.54","29.16","43.60","9.72","11.79","45.19","1.45","1.45","50.00","17.1","23.16","42.47","0.55","0.55","50.00","31.96","30.47","51.20","0.3","0.9","25.00","7.86","91.77","0.996","8.69","11.79","9.51","44.88","47.73","16.96","16.34","19.03","47.13"
"106","Carl Hagelin","WSH","L","56","637.26666666667","11.379761904762","50.47","52.73","48.91","38.79","38.41","50.24","28.15","28.25","49.92","2.73","2.17","55.77","2.58","2.09","55.33","25.99","23.26","52.77","11.39","9.13","55.50","1.6","1.32","54.84","19.46","18.83","50.82","0.75","0.75","50.00","29.51","36.18","44.93","0.54","0.27","66.67","9.70","92.33","1.020","4.43","15.72","19.68","43.12","18.36","6.4","20.9","32.11","16.63"
"491","Nick Schmaltz","ARI","C","52","740.81666666667","14.246474358974","60.5","52.73","53.43","45.52","39.44","53.57","32.96","28.59","53.55","3.16","3","51.32","2.88","2.47","53.81","28.35","26.57","51.62","12.96","10.04","56.34","1.7","1.78","48.84","20.52","22.03","48.22","1.4","1.51","48.15","40.71","33.22","55.06","0.58","0","100.00","9.58","89.52","0.991","11.74","11.42","3.81","54.99","75.52","19.28","16.28","9.96","65.93"
"750","Elias Pettersson","VAN","C","26","367.51666666667","14.135256410256","54.69","52.73","50.91","42.61","42.28","50.19","29.88","31.51","48.67","4.08","4.08","50.00","2.88","3.05","48.59","28.08","27.59","50.44","12.57","11.59","52.03","2.45","2.94","45.45","20.68","21.33","49.22","1.96","0.87","69.23","35.14","30.89","53.21","0.24","0.47","33.33","13.66","87.05","1.007","15.02","11.26","3.92","53.71","79.31","21.22","14.37","6.86","75.58"
"134","Michael Stone","CGY","D","21","296.03333333333","14.096825396825","61.61","52.7","53.90","47.02","41.55","53.09","32.23","29.79","51.96","2.84","3.04","48.28","2.58","2.33","52.47","28.38","24.12","54.05","9.12","7.09","56.25","0.81","1.22","40.00","25.67","22.7","53.07","1.62","1.62","50.00","41.28","34.84","54.23","1.17","0.88","57.14","8.81","89.80","0.986","8.11","7.7","6.28","64.45","56.34","18.24","14.8","15.81","53.57"
"849","David Gustafsson","WPG","C","4","21.633333333333","5.4083333333333","47.15","52.7","47.22","36.06","44.38","44.83","27.73","38.83","41.67","0","2.77","0.00","0.72","1.66","30.26","13.87","19.41","41.67","0","2.77","0.00","0","0","-","18.49","22.19","45.45","0","3.7","0.00","44.07","36.06","55.00","0","0","-","0.00","92.86","0.929","8.32","27.73","0","58.24","100.00","11.09","38.83","8.32","57.14"
"164","Ryan Ellis","NSH","D","34","645.71666666667","18.991666666667","58.82","52.69","52.75","44.51","40.98","52.07","32.24","30.29","51.56","2.69","2.69","50.00","2.49","2.63","48.63","28.43","24.07","54.16","11.52","10.13","53.22","1.21","1.21","50.00","22.55","18.58","54.82","1.24","1.12","52.63","38.12","34.9","52.21","0.67","0.94","41.67","8.36","91.10","0.995","10.41","11.52","8.08","38.65","56.28","23.32","17.75","16.54","58.51"
"181","Marcus Foligno","MIN","L","39","510.2","13.082051282051","44.57","52.69","45.83","35.4","39.16","47.48","26.34","26.93","49.45","4.23","2.12","66.67","2.18","1.74","55.63","22.34","20.23","52.49","10","5.64","63.91","2.23","0.94","70.37","16.46","19.44","45.85","1.41","0.94","60.00","27.52","40.26","40.60","1.02","0.68","60.00","16.07","92.14","1.082","8.35","17.52","10.7","35.16","43.83","16.35","25.4","21.64","43.03"
"136","TJ Brodie","TOR","D","56","1069.5833333333","19.099702380952","52.11","52.67","49.73","40.5","38.71","51.13","28.38","26.65","51.58","3.2","1.85","63.33","2.7","2.24","54.70","30.52","26.03","53.97","12.06","9.76","55.27","1.8","1.23","59.26","24.61","21.69","53.15","1.42","0.6","70.37","28.04","34.03","45.17","0.41","0.24","62.50","11.26","93.05","1.043","9.54","12.34","8.53","41.01","52.80","18.46","19.02","16.77","52.39"
