"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"420","Darnell Nurse","EDM","D","56","77.15","109","13","89.34","81","11","88.04","62","9","87.32","12","0","100.00","8.13","0.44","94.91","61","3","95.31","22","2","91.67","2","0","100.00","39","1","97.50","8","0","100.00","47","3","94.00","2","0","100.00","19.35","100.00","1.194","28","7","3","60","90.32","56","12","4","93.33"
"807","Kaapo Kakko","NYR","R","48","63.183333333333","67","8","89.33","54","8","87.10","38","6","86.36","4","1","80.00","4.68","0.51","90.12","35","4","89.74","16","3","84.21","4","1","80.00","19","1","95.00","0","0","-","31","0","100.00","0","0","-","10.53","83.33","0.939","25","7","2","56","92.59","37","8","5","88.10"
"9","Eric Staal","BUF, MTL","C","53","71.6","92","11","89.32","71","8","89.87","55","8","87.30","6","0","100.00","7.34","0.48","93.87","46","5","90.20","23","3","88.46","3","0","100.00","23","2","92.00","2","0","100.00","44","2","95.65","1","0","100.00","10.91","100.00","1.109","33","8","3","40","91.67","49","11","7","87.50"
"114","Josh Bailey","NYI","R","54","108.03333333333","167","20","89.30","136","18","88.31","96","10","90.57","16","0","100.00","14.6","1.35","91.52","101","10","90.99","52","6","89.66","10","0","100.00","49","4","92.45","5","0","100.00","63","6","91.30","1","0","100.00","16.67","100.00","1.167","59","8","0","41","100.00","88","11","2","97.78"
"152","Victor Hedman","T.B","D","54","177.75","300","36","89.29","234","30","88.64","170","28","85.86","31","1","96.88","20.77","2.02","91.14","152","22","87.36","50","8","86.21","15","0","100.00","102","14","87.93","10","1","90.91","142","8","94.67","6","0","100.00","18.24","96.43","1.147","89","18","0","30","100.00","186","24","2","98.94"
"645","Jesper Bratt","N.J","L","46","109","158","19","89.27","112","19","85.50","81","17","82.65","11","1","91.67","9.83","1.3","88.32","77","11","87.50","23","6","79.31","4","1","80.00","54","5","91.53","3","0","100.00","78","3","96.30","4","0","100.00","13.58","94.12","1.077","54","12","1","33","98.18","91","20","4","95.79"
"13","Dustin Brown","L.A","R","49","146.9","289","35","89.20","214","34","86.29","156","31","83.42","27","2","93.10","19.52","2.66","88.00","129","14","90.21","54","8","87.10","10","2","83.33","75","6","92.59","9","0","100.00","156","3","98.11","8","0","100.00","17.31","93.55","1.109","99","11","0","18","100.00","157","17","2","98.74"
"231","Joonas Donskoi","COL","R","51","112.61666666667","198","24","89.19","157","21","88.20","117","21","84.78","21","1","95.45","15.62","1.3","92.31","120","10","92.31","55","5","91.67","9","1","90.00","65","5","92.86","8","0","100.00","73","2","97.33","4","0","100.00","17.95","95.24","1.132","56","11","2","54","96.55","92","16","5","94.85"
"40","Anze Kopitar","L.A","C","56","177.93333333333","345","42","89.15","248","41","85.81","179","38","82.49","27","1","96.43","22.99","2.73","89.40","156","14","91.76","67","7","90.54","11","1","91.67","89","7","92.71","8","0","100.00","184","6","96.84","8","0","100.00","15.08","97.37","1.125","92","12","0","19","100.00","177","20","2","98.88"
"240","Mark Stone","VGK","R","55","164.16666666667","320","39","89.14","253","33","88.46","182","24","88.35","21","2","91.30","22.55","2.17","91.23","156","19","89.14","65","9","87.84","13","0","100.00","91","10","90.10","1","0","100.00","154","10","93.90","7","2","77.78","11.54","91.67","1.032","95","14","0","27","100.00","180","24","5","97.30"
"455","Nikolaj Ehlers","WPG","L","47","78.466666666667","156","19","89.14","118","17","87.41","95","17","84.82","15","0","100.00","10.59","0.86","92.51","86","5","94.51","33","3","91.67","5","0","100.00","53","2","96.36","5","0","100.00","68","4","94.44","5","0","100.00","15.79","100.00","1.158","36","7","2","60","94.74","70","11","2","97.22"
"23","Joe Pavelski","DAL","C","56","173.48333333333","303","37","89.12","244","34","87.77","168","27","86.15","32","1","96.97","23.35","1.21","95.09","173","11","94.02","85","4","95.51","20","0","100.00","88","7","92.63","7","0","100.00","127","6","95.49","5","1","83.33","19.05","96.30","1.153","98","16","1","21","98.99","182","28","5","97.33"
"146","Kyle Palmieri","N.J, NYI","C, R","51","114.96666666667","172","21","89.12","138","19","87.90","90","16","84.91","10","1","90.91","13.18","1.87","87.57","90","15","85.71","36","8","81.82","5","1","83.33","54","7","88.52","4","0","100.00","80","5","94.12","1","0","100.00","11.11","93.75","1.049","66","7","1","28","98.51","112","14","4","96.55"
"18","Patrice Bergeron","BOS","C","54","177.71666666667","326","40","89.07","244","35","87.46","163","31","84.02","27","5","84.38","22.08","2.27","90.69","178","16","91.75","72","13","84.71","15","3","83.33","106","3","97.25","6","1","85.71","147","11","93.04","6","1","85.71","16.56","83.87","1.004","82","16","0","14","100.00","174","28","5","97.21"
"379","Will Butcher","N.J","D","23","30.25","57","7","89.06","39","7","84.78","29","6","82.86","4","0","100.00","3.57","0.4","89.86","29","4","87.88","10","2","83.33","1","0","100.00","19","2","90.48","2","0","100.00","26","0","100.00","1","0","100.00","13.79","100.00","1.138","16","6","0","9","100.00","35","8","0","100.00"
"682","Kailer Yamamoto","EDM","R","52","32.433333333333","57","7","89.06","43","7","86.00","26","5","83.87","5","0","100.00","4.43","0.34","92.89","36","4","90.00","13","0","100.00","3","0","100.00","23","4","85.19","1","0","100.00","19","2","90.48","1","0","100.00","19.23","100.00","1.192","18","2","0","14","100.00","29","3","1","96.67"
"744","Pius Suter","CHI","C","54","74.116666666667","114","14","89.06","84","12","87.50","72","9","88.89","11","2","84.62","7.5","0.56","93.01","60","5","92.31","25","2","92.59","7","1","87.50","35","3","92.11","3","1","75.00","48","4","92.31","1","0","100.00","15.28","77.78","0.931","26","11","3","54","89.66","55","15","4","93.22"
"44","James Neal","EDM","L","29","52.3","89","11","89.00","68","9","88.31","50","7","87.72","12","0","100.00","6.32","0.64","90.83","59","4","93.65","24","2","92.31","4","0","100.00","35","2","94.59","6","0","100.00","30","3","90.91","2","0","100.00","24.00","100.00","1.240","35","2","0","24","100.00","46","2","1","97.87"
"258","Andrew Shaw","CHI","R","14","51.95","89","11","89.00","63","9","87.50","52","8","86.67","9","0","100.00","6.69","0.33","95.35","52","5","91.23","19","2","90.48","7","0","100.00","33","3","91.67","1","0","100.00","33","2","94.29","1","0","100.00","17.31","100.00","1.173","26","3","0","4","100.00","54","3","1","98.18"
"803","Trevor Zegras","ANA","C","24","52.1","89","11","89.00","67","11","85.90","45","6","88.24","0","2","0.00","5.94","0.92","86.56","42","6","87.50","14","3","82.35","0","0","-","28","3","90.32","0","1","0.00","46","0","100.00","0","0","-","0.00","66.67","0.667","28","5","0","9","100.00","46","8","1","97.87"
"218","Zach Hyman","TOR","L","43","65.55","105","13","88.98","82","12","87.23","55","12","82.09","7","3","70.00","7.83","0.92","89.54","68","12","85.00","26","6","81.25","4","3","57.14","42","6","87.50","2","0","100.00","35","0","100.00","1","0","100.00","12.73","75.00","0.877","32","3","1","34","96.97","59","7","2","96.72"
"504","Victor Olofsson","BUF","L","56","165.55","250","31","88.97","199","30","86.90","143","24","85.63","23","4","85.19","18.21","2.69","87.11","116","13","89.92","52","11","82.54","9","2","81.82","64","2","96.97","8","0","100.00","132","7","94.96","6","0","100.00","16.08","83.33","0.994","99","12","0","13","100.00","162","21","0","100.00"
"73","Alex Killorn","T.B","L","56","169.56666666667","273","34","88.93","211","31","87.19","153","29","84.07","28","2","93.33","18.04","1.95","90.25","138","20","87.34","49","8","85.96","15","1","93.75","89","12","88.12","7","1","87.50","127","8","94.07","6","0","100.00","18.30","93.10","1.114","93","15","1","47","98.94","155","22","2","98.73"
"289","Dougie Hamilton","CAR","D","55","163.6","337","42","88.92","236","36","86.76","164","26","86.32","31","3","91.18","22.9","3.39","87.10","187","29","86.57","71","14","83.53","18","3","85.71","116","15","88.55","7","0","100.00","144","8","94.74","4","0","100.00","18.90","88.46","1.074","98","14","1","7","98.99","174","24","10","94.57"
"469","Adrian Kempe","L.A","C","56","161.36666666667","313","39","88.92","232","38","85.93","169","36","82.44","25","1","96.15","21.22","1.93","91.66","137","15","90.13","61","8","88.41","10","1","90.91","76","7","91.57","7","0","100.00","171","4","97.71","8","0","100.00","14.79","97.22","1.120","102","14","0","23","100.00","171","20","2","98.84"
"66","Jordan Staal","CAR","C","53","136.86666666667","288","36","88.89","199","31","86.52","140","23","85.89","27","3","90.00","18.67","2.85","86.77","160","25","86.49","61","12","83.56","15","3","83.33","99","13","88.39","7","0","100.00","121","6","95.28","3","0","100.00","19.29","86.96","1.062","94","13","3","11","96.91","153","21","12","92.73"
"167","Tomas Tatar","MTL","L","50","99.783333333333","136","17","88.89","103","12","89.57","76","11","87.36","12","1","92.31","9.69","0.73","93.02","70","9","88.61","31","2","93.94","6","1","85.71","39","7","84.78","2","0","100.00","63","3","95.45","4","0","100.00","15.79","90.91","1.067","45","6","3","55","93.75","81","12","5","94.19"
"178","Casey Cizikas","NYI","C","56","7.05","8","1","88.89","5","0","100.00","4","0","100.00","0","0","-","0.25","0","100.00","4","0","100.00","0","0","-","0","0","-","4","0","100.00","0","0","-","4","1","80.00","0","0","-","0.00","-","0.00","5","6","2","23","71.43","9","6","3","75.00"
"221","Brett Connolly","CHI, FLA","R","30","23.033333333333","40","5","88.89","27","5","84.38","20","4","83.33","2","0","100.00","2.33","0.16","93.60","16","2","88.89","6","1","85.71","0","0","-","10","1","90.91","1","0","100.00","20","0","100.00","1","0","100.00","10.00","100.00","1.100","11","0","1","14","91.67","28","1","1","96.55"
"304","Brad Hunt","MIN","D","12","20.883333333333","40","5","88.89","29","5","85.29","21","4","84.00","1","0","100.00","2.76","0.22","92.73","20","2","90.91","7","2","77.78","1","0","100.00","13","0","100.00","0","0","-","19","2","90.48","0","0","-","4.76","100.00","1.048","10","1","1","8","90.91","17","2","1","94.44"
"619","Kale Clague","L.A","D","18","16.516666666667","24","3","88.89","20","3","86.96","16","3","84.21","1","0","100.00","2.87","0.01","99.64","14","0","100.00","9","0","100.00","0","0","-","5","0","100.00","1","0","100.00","10","0","100.00","0","0","-","6.25","100.00","1.063","10","3","0","16","100.00","12","6","0","100.00"
"646","Mikhail Sergachev","T.B","D","56","117.61666666667","152","19","88.89","122","16","88.41","85","16","84.16","12","2","85.71","10.9","0.95","91.96","74","10","88.10","28","5","84.85","7","1","87.50","46","5","90.20","3","1","75.00","71","2","97.26","2","0","100.00","14.12","87.50","1.016","38","16","3","81","92.68","74","20","7","91.36"
"654","Drake Caggiula","ARI, BUF","C","38","8.9666666666667","8","1","88.89","3","1","75.00","3","0","100.00","1","0","100.00","0.42","0.17","70.62","1","1","50.00","0","1","0.00","0","0","-","1","0","100.00","0","0","-","4","0","100.00","0","0","-","33.33","-","0.33","2","2","1","9","66.67","3","3","1","75.00"
"691","Cody Glass","VGK","C","27","62.616666666667","96","12","88.89","75","10","88.24","56","7","88.89","7","0","100.00","6.45","0.79","89.08","40","6","86.96","16","3","84.21","5","0","100.00","24","3","88.89","0","0","-","52","3","94.55","2","0","100.00","12.50","100.00","1.125","32","5","0","19","100.00","65","11","2","97.01"
"759","Joe Veleno","DET","C","5","8.05","8","1","88.89","7","1","87.50","6","1","85.71","1","0","100.00","0.53","0.05","91.21","5","1","83.33","1","0","100.00","0","0","-","4","1","80.00","1","0","100.00","3","0","100.00","0","0","-","16.67","100.00","1.167","4","2","0","4","100.00","6","2","0","100.00"
"166","Reilly Smith","VGK","R","53","123.08333333333","238","30","88.81","180","24","88.24","124","19","86.71","12","0","100.00","16.08","1.18","93.14","124","14","89.86","47","6","88.68","8","0","100.00","77","8","90.59","3","0","100.00","107","6","94.69","1","0","100.00","9.68","100.00","1.097","53","8","2","67","96.36","93","12","5","94.90"
"726","Neal Pionk","WPG","D","54","116.03333333333","222","28","88.80","161","23","87.50","132","20","86.84","20","1","95.24","14.51","1.48","90.75","121","10","92.37","46","5","90.20","7","1","87.50","75","5","93.75","7","0","100.00","97","9","91.51","5","0","100.00","15.15","95.00","1.102","39","14","2","66","95.12","94","19","4","95.92"
"620","Sam Steel","ANA","C","42","53.083333333333","87","11","88.78","62","10","86.11","41","7","85.42","1","1","50.00","6.01","0.82","87.93","54","7","88.52","16","4","80.00","1","0","100.00","38","3","92.68","0","1","0.00","33","1","97.06","0","0","-","2.44","85.71","0.882","23","6","1","22","95.83","39","11","1","97.50"
