"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"34","Andrew Cogliano","COL, S.J","C","74","6.8666666666667","0.092792792792793","-48.78","0.23","-10.44","-33.73","-6.78","0.03","-30.34","-12.41","18.00","-7.41","-1.38","-","-4.79","-0.99","8.20","-38.04","-7.93","12.50","-12.13","-4.66","18.24","-2.76","-1.03","-","-34.56","-4.37","8.64","-2.76","-0.46","-85.71","-27.3","17.77","-20.94","-3.74","0","-100.00","0.00","-","0.00","26.21","26.21","8.74","209.71","75.00","26.21","26.21","17.48","60.00"
"39","Keith Yandle","PHI","D","77","165.98333333333","2.1556277056277","14.74","0.23","1.69","12.76","1.27","1.08","5.97","2.67","-1.73","1.8","2.01","-19.32","1.06","-0.03","1.99","7.48","0.56","1.30","2.09","2.01","-5.89","0.56","0.46","-10.00","7.19","-1.94","7.85","0.76","1.1","-16.67","8.85","-4.04","5.51","0.45","0.52","-25.00","9.62","80.56","0.902","33.26","5.06","0.36","20.97","98.92","52.41","7.59","1.81","96.67"
"9","Ryan Getzlaf","ANA","C","56","146.48333333333","2.6157738095238","-3.66","0.22","-0.60","2.68","2.07","-1.61","-10.29","0.48","-3.60","-2.79","0.41","-5.26","1.2","0.39","-3.26","-1.37","2.04","-3.61","1.08","1.02","-3.62","-2.53","0","0.00","-3.26","1.36","-3.30","-0.62","0.55","-25.00","-1.53","-0.53","0.58","0.29","0","0.00","16.36","96.15","1.125","30.31","3.69","0.41","8.6","98.67","59.8","5.73","1.23","97.99"
"519","Anthony Beauvillier","NYI","L","75","129.46666666667","1.7262222222222","-7.62","0.21","-1.19","-7.22","0.72","-2.10","-5.62","-1.4","0.23","-0.2","-1.44","14.12","-0.1","0.53","-5.74","2.75","0.7","-0.35","0.77","1.75","-4.67","-0.42","-1.12","16.67","2.64","-1.4","3.26","-0.29","-0.42","11.11","-16.14","0.1","-2.36","0.42","0","0.00","14.95","95.65","1.106","25.95","6.49","1.39","31.51","94.92","43.1","10.66","2.78","93.94"
"395","Max Domi","CAR, CBJ","C","72","87.516666666667","1.2155092592593","-19.65","0.15","-2.84","-14.46","1.31","-3.95","-11.94","-0.15","-3.45","-2.63","-0.44","0.00","-1.22","-0.12","-0.70","-6.16","0.36","-2.20","0.89","-1.47","5.88","0.21","-0.84","25.00","-9.4","2.44","-8.30","-2.46","0.54","-40.00","-20.07","0.48","-2.61","-1.45","0","0.00","9.23","94.12","1.033","16.45","4.11","2.74","57.59","85.71","31.54","6.86","4.11","88.46"
"418","Sam Bennett","FLA","C","71","157.63333333333","2.2201877934272","-1.8","0.15","-0.34","-7.1","0.87","-2.23","-4.28","1.96","-3.73","-4.97","-0.64","-0.14","-0.07","-0.12","1.12","-3.22","-0.65","0.40","0.88","-0.03","0.72","-2.39","-0.74","5.68","-5.46","-0.83","0.94","-1.58","0.13","-8.33","-0.84","-0.33","0.37","-2","0","0.00","11.36","93.55","1.049","25.12","5.71","0.38","30.07","98.51","48.72","7.61","1.14","97.71"
"454","Viktor Arvidsson","L.A","L","66","174.05","2.6371212121212","3.74","0.11","0.24","6.03","1","-0.13","-2.01","1.93","-2.67","-1.57","0.64","-10.53","0.23","-0.02","0.38","-7.18","0.74","-1.97","-4.31","0.74","-3.61","-1.08","-0.05","-3.17","-3.83","0","-0.63","-0.79","0.46","-20.00","21","-3.34","3.93","0.71","0.5","-14.29","8.99","90.91","0.999","33.09","5.86","0.34","14.48","98.97","57.91","8.96","1.72","97.11"
"278","Alex Galchenyuk","ARI","C","60","50.05","0.83416666666667","-36.14","0.08","-10.02","-25.44","-1.94","-6.59","-14.73","-2.4","-3.13","-3.25","0.57","-23.33","-2.28","-0.68","2.43","-15.07","-1.29","-4.45","-8.68","0.14","-9.93","-1.88","-0.31","-","-8.53","-1.9","-0.15","-3.35","1.18","-88.89","-32.16","0.58","-10.41","1.65","0","0.00","7.41","88.89","0.963","22.78","5.99","5.99","55.14","79.17","32.37","10.79","7.19","81.82"
"614","Jordan Kyrou","STL","C","74","141.13333333333","1.9072072072072","-4.44","0.04","-0.58","-5.03","0.91","-1.72","-4.63","1.35","-2.71","0.22","0.99","-8.33","-0.05","-0.22","2.25","-0.97","0.23","-0.43","0.58","-1.02","3.97","0.83","0.57","-8.97","-2.08","1.66","-2.54","0.52","0","0.00","-7.09","-2.49","3.01","-1.45","0.61","-50.00","18.18","90.00","1.082","25.93","3.83","1.28","31.88","95.31","51.02","6.38","4.25","92.31"
"757","Zach Whitecloud","VGK","D","59","4.1333333333333","0.070056497175141","-23.61","0.01","-3.56","-50.78","-13.34","14.32","-58.98","-11.23","-","-6.55","-1.64","-","-6.16","-1.21","12.90","-56.87","-7.96","-","-23.64","-4.91","-","-4.21","-1.4","-","-44.31","-4.06","-","-2.18","0","-100.00","45.34","16.57","-9.79","-1.01","-0.34","-75.00","-","-","-","0","43.55","0","188.71","-","29.03","43.55","14.52","66.67"
"778","Grigori Denisenko","FLA","L","1","1.0166666666667","1.0166666666667","-94.51","0","-","-68.74","0","-","-51.55","0","-","0","0","-","-7.54","0","-","-60.14","0","-","-17.18","0","-","0","0","-","-57.28","0","-","0","0","-","-62.05","0","-","0","0","-","-","-","-","0","0","0","118.03","-","0","0","0","-"
"896","JJ Peterka","BUF","R","2","1.75","0.875","-114.48","0","0.00","-94.14","0","0.00","-53.46","0","0.00","-20.34","0","-","-16.22","0","0.00","-73.8","0","0.00","-61.02","0","-","-20.34","0","-","-17.05","0","0.00","0","0","-","-88.14","0","-","0","0","-","0.00","-","0.00","34.29","0","0","34.29","100.00","34.29","0","0","100.00"
"17","Joe Pavelski","DAL","C","82","224.56666666667","2.7386178861789","20.91","-0.01","2.59","12.09","-0.64","2.80","2.58","-1.45","2.42","3.86","0.09","3.03","1.17","0.21","-0.70","15.92","1.73","0.60","8.92","-0.61","5.41","1.8","-0.44","9.33","9.33","3.11","-3.14","2.62","0.71","-16.67","2.97","1.69","-2.10","0.13","0","0.00","17.29","93.33","1.106","33.93","5.88","0.53","16.03","98.45","59.58","8.82","2.67","95.71"
"387","Jonathan Drouin","MTL","L","34","79.583333333333","2.3406862745098","-1.09","-0.09","-0.07","-1.47","1.97","-2.48","-8.26","1.15","-4.30","-1.28","2.26","-37.50","-1.02","0.67","-10.58","-7.54","1.19","-4.24","-8.77","0.3","-10.83","-0.62","1.51","-40.00","1.64","1.18","-2.15","-1.92","1.01","-100.00","8.23","-0.85","1.97","1.14","0","0.00","9.09","76.92","0.860","39.2","5.28","0.75","16.59","98.11","59.56","6.03","1.51","97.53"
"513","Ethan Bear","CAR","D","58","34.316666666667","0.59166666666667","-29.36","-0.09","-4.02","-10.8","1.49","-3.10","-8.3","0.63","-2.76","-0.49","-0.53","5.41","-0.86","0.15","-2.81","-17.64","-0.92","-2.57","-3.18","0.23","-3.16","1.03","-0.53","11.11","-19.28","-1.54","0.09","-2.59","0","0.00","-18.06","7.44","-12.92","0.62","0","0.00","16.13","100.00","1.161","22.73","5.25","0","61.19","100.00","36.72","10.49","3.5","91.30"
"588","Clayton Keller","ARI","C, R","67","193.63333333333","2.8900497512438","23.78","-0.09","4.81","19.99","0.02","5.64","16.45","-0.39","7.34","2.21","-1.04","23.31","2.43","0.49","-0.47","14.14","2.67","-0.07","5.03","0.41","1.87","1.81","0.31","-11.11","12.15","3.02","-1.58","3.31","-1.79","100.00","14.37","-4.19","8.10","-2.99","0","0.00","10.84","97.50","1.083","25.41","7.13","0","8.06","100.00","52.06","8.99","1.55","97.11"
"420","Haydn Fleury","SEA","D","36","6.4833333333333","0.18009259259259","-8.9","-0.1","-0.79","2.22","0.9","-0.69","5.09","2.57","-2.59","-4.01","-1","-","4.48","0.47","-0.93","12.77","5.58","-6.37","20.65","7.92","-12.45","-1.34","-0.67","-","-10.5","-3.12","8.14","-1.34","-0.45","-75.00","-29.85","-3.86","5.23","-2.41","0","-100.00","0.00","100.00","1.000","46.27","9.25","0","111.05","100.00","55.53","9.25","0","100.00"
"700","Jason Robertson","DAL","L","74","198.11666666667","2.6772522522523","18.52","-0.1","2.50","9.28","-0.53","2.32","2.32","-1.2","2.14","5.42","-0.18","7.24","1.33","0.38","-2.22","16.02","1.73","0.73","10.61","0.5","2.94","2.66","-0.48","11.22","7.22","1.64","-1.09","3.52","0.4","-9.09","0.29","1.6","-2.31","0.18","0","0.00","19.89","95.00","1.149","36.34","6.36","0.91","14.54","97.56","59.96","9.39","3.03","95.19"
