"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"593","Henry Thrun","S.J","D","60","70.35","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","1","0","7","0","0","-"
"595","Ville Heinola","WPG","D","18","2.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"596","Philip Tomasino","NSH, PIT","C, R","61","1.0666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"598","Thomas Harley","DAL","D","78","119.25","0","0","0","0","0","0.00","7","0.00","0.42","8","8","4","1","1","1","0","0","0","0","0","1","7","2","0","0","5","0","0","-"
"599","Nicholas Robertson","TOR","L","69","4.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"600","Sam Poulin","PIT","R","7","1.2833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"601","Jakob Pelletier","CGY, PHI","L","49","35.633333333333","0","0","0","0","0","0.00","2","0.00","0.09","3","2","1","1","0","0","0","0","0","0","0","0","0","2","0","1","4","2","1","66.67"
"602","Jayden Struble","MTL","D","56","26.666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","1","3","0","4","0","0","-"
"603","Nathan Légaré","N.J","R","3","0.21666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"605","Philip Broberg","STL","D","68","93.333333333333","0","0","0","0","0","0.00","2","0.00","0.06","3","3","0","0","2","0","0","0","0","0","0","0","4","1","0","2","8","0","0","-"
"606","Tobias Bjornfot","FLA","D","14","7.2","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"608","Pavel Dorofeyev","VGK","L","82","0.8","0","0","0","0","0","-","1","0.00","0.03","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"610","Jordan Spence","L.A","D","79","52.916666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","0","3","0","0","-"
"611","Albert Johansson","DET","D","61","26.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","-"
"612","Vladislav Kolyachonok","PIT, UTA","D","35","11.466666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","-"
