"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"792","Jack Hughes","N.J","C","61","194.65","3.1909836065574","1.23","1.54","0.62","0.92","2.77","37.50","8.94","13.79","1.16","17.57","12.02","9.25","3.08","0","0.62","0","0","0","0","0","0.31","3.39","1.23","0","2.77","0","11.71","17.26","12.46"
"520","Sonny Milano","ANA, CBJ","L","55","65.65","1.1936363636364","0.91","1.83","0.91","0.91","2.74","75.00","7.31","12.50","0.72","11.88","9.14","6.4","1.83","0","0","0","0","0","0","0","0","5.48","0","0","4.57","0","0","0","-"
"243","Evgeny Kuznetsov","WSH","C","63","200.66666666667","3.1851851851852","1.79","1.79","0.9","0.9","3.59","54.55","11.66","15.38","1.42","15.25","14.05","9.57","5.08","0","1.2","1.2","0.6","0.6","0","0","0.3","1.2","0.3","0.3","1.79","0","5.08","3.89","16.94"
"490","Anthony Mantha","DET","R","43","133.63333333333","3.1077519379845","2.69","1.35","0.45","0.9","4.04","69.23","17.06","15.79","1.55","33.23","24.25","12.57","1.35","0","3.14","4.49","2.24","2.24","0","0","1.35","1.8","1.8","0.9","0.45","0","0","2.69","0.00"
"787","Blake Lizotte","L.A","C","65","66.583333333333","1.024358974359","1.8","0.9","0","0.9","2.7","60.00","9.91","18.18","1.72","12.62","11.71","10.81","8.11","0.9","3.6","0","0","0","0","0","0","0.9","0","0.9","3.6","0","10.81","7.21","54.07"
"193","Brayden Schenn","STL","C","71","204.58333333333","2.881455399061","2.93","3.23","2.35","0.88","6.16","56.76","11.73","25.00","1.76","20.82","14.66","15.54","6.45","0","0.59","0.59","0.29","0.29","0","0","0.88","2.35","0","1.17","1.76","0","5.87","6.16","14.31"
"332","Gabriel Landeskog","COL","L","54","205.65","3.8083333333333","1.75","2.63","1.75","0.88","4.38","51.72","10.5","16.67","1.98","18.96","15.46","14.88","8.46","0","1.75","2.33","1.17","1.17","0","0","0.29","1.46","0.29","0.88","4.08","0","13.71","8.46","18.04"
"394","Chris Tierney","OTT","C","71","68.716666666667","0.96784037558685","0.87","1.75","0.87","0.87","2.62","60.00","4.37","20.00","0.77","9.6","7.86","6.11","4.37","0","0.87","0","0","0","0","0","0","3.49","0","0.87","0.87","0","27.94","28.81","42.99"
"462","J.T. Compher","COL","L","67","138.56666666667","2.0681592039801","0.43","1.73","0.87","0.87","2.17","31.25","9.96","4.35","1.27","15.16","12.12","8.66","4.76","0","0.43","0.87","0.43","0.43","0","0","0.87","1.3","0","0.87","4.33","0","6.06","9.53","16.84"
"762","Joel Farabee","PHI","L","52","70.133333333333","1.3487179487179","0.86","0.86","0","0.86","1.71","28.57","7.7","11.11","1.65","12.83","11.98","9.41","5.13","0","0","5.99","1.71","0.86","0.86","0","0.86","3.42","1.71","1.71","2.57","0","0.86","0","85.55"
"550","Viktor Arvidsson","NSH","L, R","57","141.38333333333","2.4804093567251","1.7","1.7","0.85","0.85","3.4","42.11","11.03","15.38","1.93","22.92","17.82","16.98","7.21","0.42","1.27","0.85","0.42","0.42","0","0","1.7","2.12","0.42","0","2.12","0","0","0","-"
"187","Alex Chiasson","EDM","R","65","143.26666666667","2.2041025641026","2.51","2.93","2.09","0.84","5.44","39.39","12.56","20.00","2.81","17.17","16.33","15.5","12.98","0","3.35","0","0","0","0","0","0","0","0.42","0.84","1.68","0","0","0.42","0.00"
"580","Mikko Rantanen","COL","R","42","146.13333333333","3.4793650793651","3.28","2.46","1.64","0.82","5.75","66.67","11.91","27.59","1.32","19.71","15.19","11.09","2.87","0","0.82","0","0","0","0","0","0.82","2.05","0.82","0.41","2.05","0","3.28","2.87","21.90"
